row#,Name,FIPS,Source,ToxPi Score,Sectors Vulnerable to Disruption,Costs of Climate Disasters
61657,"TX, Angelina, 48005000902",48005000902,"+31.2823915,-094.7246988",0.587982635139658,0.7697761960167,0.406189074262616
61658,"TX, Angelina, 48005001001",48005001001,"+31.2065934,-094.8086815",0.597668220308559,0.7697761960167,0.425560244600417
61659,"TX, Angelina, 48005001002",48005001002,"+31.1574825,-094.7131134",0.597372036806571,0.7697761960167,0.424967877596442
61660,"TX, Angelina, 48005001100",48005001100,"+31.3337808,-094.5852421",0.601892489423923,0.7697761960167,0.434008782831145
61661,"TX, Angelina, 48005001200",48005001200,"+31.1390364,-094.3552215",0.586744049585891,0.7697761960167,0.403711903155082
61662,"TX, Angelina, 48005001300",48005001300,"+31.1891367,-094.5136193",0.600993168608796,0.7697761960167,0.432210141200892
61663,"TX, Aransas, 48007950100",48007950100,"+28.1951717,-096.9358509",0.712926573313639,0.694011361303128,0.731841785324151
61664,"TX, Aransas, 48007950200",48007950200,"+28.0335099,-097.0258751",0.682600459941276,0.694011361303128,0.671189558579424
61665,"TX, Aransas, 48007950300",48007950300,"+28.0420659,-097.0703842",0.678393884905251,0.694011361303128,0.662776408507375
61666,"TX, Aransas, 48007950400",48007950400,"+28.0171641,-097.0709140",0.686523929707868,0.694011361303128,0.679036498112607
61667,"TX, Aransas, 48007950500",48007950500,"+27.9898056,-097.1250460",0.70985088073975,0.694011361303128,0.725690400176373
61668,"TX, Aransas, 48007990000",48007990000,"+27.9305294,-096.9381146",0.556760167678522,0.694011361303128,0.419508974053915
61669,"TX, Archer, 48009020100",48009020100,"+33.7905536,-098.5260054",0.650789491645609,0.939442885497228,0.362136097793989
61670,"TX, Archer, 48009020200",48009020200,"+33.6476029,-098.7808839",0.641484713836407,0.939442885497228,0.343526542175585
61671,"TX, Archer, 48009020300",48009020300,"+33.5246510,-098.5853305",0.646826787181351,0.939442885497228,0.354210688865473
61672,"TX, Armstrong, 48011950100",48011950100,"+34.9641790,-101.3566363",0.652698857277793,0.957798918622955,0.34759879593263
61673,"TX, Atascosa, 48013960100",48013960100,"+28.8781528,-098.3319339",0.720423668669378,0.907275340496886,0.533571996841871
61674,"TX, Atascosa, 48013960201",48013960201,"+29.1199892,-098.7546429",0.71700255689447,0.907275340496886,0.526729773292053
61675,"TX, Atascosa, 48013960202",48013960202,"+29.0805454,-098.6307670",0.715757047570526,0.907275340496886,0.524238754644166
61676,"TX, Atascosa, 48013960300",48013960300,"+29.0371934,-098.5854561",0.694659550535425,0.907275340496886,0.482043760573963
61677,"TX, Atascosa, 48013960401",48013960401,"+29.1036654,-098.5150634",0.676350794265793,0.907275340496886,0.4454262480347
61678,"TX, Atascosa, 48013960402",48013960402,"+28.9812134,-098.5122283",0.714692325578965,0.907275340496886,0.522109310661043
61679,"TX, Atascosa, 48013960500",48013960500,"+28.8314705,-098.7195364",0.684206196184748,0.907275340496886,0.46113705187261
61680,"TX, Atascosa, 48013960600",48013960600,"+28.8045739,-098.5228207",0.710097250105268,0.907275340496886,0.51291915971365
61681,"TX, Austin, 48015760100",48015760100,"+29.6617125,-096.1047804",0.700654477879886,0.846923550749435,0.554385405010336
61682,"TX, Austin, 48015760200",48015760200,"+29.7838198,-096.1069262",0.723689091948767,0.846923550749435,0.600454633148099
61683,"TX, Austin, 48015760300",48015760300,"+29.7925573,-096.2521104",0.727382538683945,0.846923550749435,0.607841526618455
61684,"TX, Austin, 48015760400",48015760400,"+29.9608477,-096.4470209",0.715760605789062,0.846923550749435,0.584597660828688
61685,"TX, Austin, 48015760501",48015760501,"+30.0308287,-096.2726070",0.715902927731575,0.846923550749435,0.584882304713716
61686,"TX, Austin, 48015760502",48015760502,"+29.9392898,-096.1788755",0.720297213870158,0.846923550749435,0.593670876990882
61687,"TX, Bailey, 48017950100",48017950100,"+34.0675209,-102.8303446",0.721126148869141,0.999644103757443,0.442608193980838
61688,"TX, Bandera, 48019000101",48019000101,"+29.6824133,-099.1349521",0.717261540919147,0.965327492984738,0.469195588853556
61689,"TX, Bandera, 48019000102",48019000102,"+29.7834036,-099.0515872",0.720809588480621,0.965327492984738,0.476291683976505
61690,"TX, Bandera, 48019000200",48019000200,"+29.7597657,-099.3923979",0.720616492223481,0.965327492984738,0.475905491462225
61691,"TX, Bandera, 48019000300",48019000300,"+29.6690170,-098.9230498",0.717273849843904,0.965327492984738,0.469220206703071
61692,"TX, Bandera, 48019000400",48019000400,"+29.5802464,-098.9497483",0.674945765524756,0.965327492984738,0.384564038064775
61693,"TX, Bastrop, 48021950100",48021950100,"+30.2837407,-097.3403844",0.683746085594974,0.843172951885566,0.524319219304383
61694,"TX, Bastrop, 48021950200",48021950200,"+30.3542454,-097.3737427",0.674403611703701,0.843172951885566,0.505634271521837
61695,"TX, Bastrop, 48021950300",48021950300,"+30.0824826,-097.4146099",0.689604364471954,0.843172951885566,0.536035777058343
61696,"TX, Bastrop, 48021950400",48021950400,"+30.1078302,-097.3091595",0.678800975073474,0.843172951885566,0.514428998261382
