row#,Name,FIPS,Source,ToxPi Score,Temperature,Storms,Wildfires,Droughts,Flooding,Precipitation
64252,"TX, Harris, 48201343200",48201343200,"+29.6582899,-095.0491526",0.391124454469159,0.327938876385179,0.533058486121069,0.703731687918591,0.592587526880324,9.58182191499555e-05,0.189334331290639
64253,"TX, Harris, 48201343301",48201343301,"+29.6841022,-095.0651043",0.391890529488387,0.327938876385179,0.579509372119226,0.661877252035801,0.592587526880324,9.58182191499555e-05,0.189334331290639
64254,"TX, Harris, 48201343302",48201343302,"+29.6706816,-095.0618690",0.387949859954018,0.327938876385179,0.532331250640172,0.685411356308645,0.592587526880324,9.58182191499555e-05,0.189334331290639
64255,"TX, Harris, 48201343600",48201343600,"+29.7209564,-095.0612181",0.406808967749672,0.323011613780111,0.698105090648366,0.661562549551389,0.569736123081352,9.58182191499555e-05,0.188342611217664
64256,"TX, Harris, 48201343700",48201343700,"+29.6374126,-095.0618101",0.410259851340282,0.327938876385179,0.646778654102223,0.704823901164178,0.592587526880324,9.58182191499555e-05,0.189334331290639
64257,"TX, Harris, 48201350100",48201350100,"+29.5759773,-095.2354972",0.42753201634517,0.327938876385179,0.72622144832531,0.694863465905677,0.626738157945067,9.58182191499555e-05,0.189334331290639
64258,"TX, Harris, 48201350200",48201350200,"+29.5947120,-095.2325717",0.383571338230422,0.327938876385179,0.626139506299293,0.54347171924216,0.614447777946108,9.58182191499555e-05,0.189334331290639
64259,"TX, Harris, 48201350300",48201350300,"+29.5828835,-095.2248573",0.348943774021782,0.327938876385179,0.596102632387586,0.365743207902028,0.614447777946108,9.58182191499555e-05,0.189334331290639
64260,"TX, Harris, 48201350400",48201350400,"+29.5956619,-095.2091822",0.362375392366027,0.327938876385179,0.605904947249821,0.440302217761178,0.610676163290195,9.58182191499555e-05,0.189334331290639
64261,"TX, Harris, 48201350500",48201350500,"+29.5821133,-095.1951117",0.415615889109686,0.327938876385179,0.662035235071187,0.703614910401767,0.610676163290195,9.58182191499555e-05,0.189334331290639
64262,"TX, Harris, 48201350601",48201350601,"+29.5545735,-095.1718691",0.426366790349789,0.327938876385179,0.711077537642118,0.715306400615538,0.614447777946108,9.58182191499555e-05,0.189334331290639
64263,"TX, Harris, 48201350602",48201350602,"+29.5377084,-095.1773664",0.360866695429571,0.327938876385179,0.618662296425279,0.41472107231107,0.614447777946108,9.58182191499555e-05,0.189334331290639
64264,"TX, Harris, 48201350700",48201350700,"+29.5268090,-095.1859998",0.387218509989263,0.327938876385179,0.582008603912732,0.606668963640924,0.617264466486954,9.58182191499555e-05,0.189334331290639
64265,"TX, Harris, 48201350801",48201350801,"+29.5249126,-095.1752215",0.371850919854686,0.327938876385179,0.593700706749974,0.502771319996217,0.617264466486954,9.58182191499555e-05,0.189334331290639
64266,"TX, Harris, 48201350802",48201350802,"+29.5147989,-095.1484611",0.428196236701273,0.327938876385179,0.715773840008194,0.703429440227988,0.632605114076487,9.58182191499555e-05,0.189334331290639
64267,"TX, Harris, 48201410100",48201410100,"+29.7574726,-095.3800221",0.351322546661224,0.327938876385179,0.540832735839394,0.453896494572608,0.595837023660373,9.58182191499555e-05,0.189334331290639
64268,"TX, Harris, 48201410200",48201410200,"+29.7565001,-095.3917909",0.360346074069646,0.327938876385179,0.54357779371095,0.502757581464826,0.598372043347135,9.58182191499555e-05,0.189334331290639
64269,"TX, Harris, 48201410300",48201410300,"+29.7564318,-095.4041075",0.321795974048097,0.327938876385179,0.533288948069241,0.281745826977236,0.598372043347135,9.58182191499555e-05,0.189334331290639
64270,"TX, Harris, 48201410401",48201410401,"+29.7475136,-095.4063925",0.320461001874243,0.327938876385179,0.525279115026119,0.281745826977236,0.598372043347135,9.58182191499555e-05,0.189334331290639
64271,"TX, Harris, 48201410402",48201410402,"+29.7474979,-095.3987171",0.319639874488535,0.327938876385179,0.520352350711871,0.281745826977236,0.598372043347135,9.58182191499555e-05,0.189334331290639
64272,"TX, Harris, 48201410500",48201410500,"+29.7491017,-095.3887341",0.321836955351626,0.327938876385179,0.536069855577179,0.281745826977236,0.595837023660373,9.58182191499555e-05,0.189334331290639
